nome,dtype,%nulos_arquivo_inteiro,%nulos_populacao_aprovada,suspeita_vazamento,nota
id,int64,0.0,0.0,,
member_id,float64,100.0,100.0,,
loan_amnt,float64,0.0015,0.0,,
funded_amnt,float64,0.0015,0.0,,
funded_amnt_inv,float64,0.0015,0.0,,
term,str,0.0015,0.0,,
int_rate,float64,0.0015,0.0,,
installment,float64,0.0015,0.0,,
grade,str,0.0015,0.0,,
sub_grade,str,0.0015,0.0,,
emp_title,str,7.3872,6.5089,,
emp_length,str,6.4998,5.578,,
home_ownership,str,0.0015,0.0,,
annual_inc,float64,0.0016,0.0,,
verification_status,str,0.0015,0.0,,
issue_d,str,0.0015,0.0,,
loan_status,str,0.0015,0.0,,
pymnt_plan,str,0.0015,0.0,,
url,str,0.0015,0.0,,
desc,str,94.4236,82.2406,,
purpose,str,0.0015,0.0,,
title,str,1.0333,0.0157,,
zip_code,str,0.0015,0.0,,
addr_state,str,0.0015,0.0,,
dti,float64,0.0771,0.0003,,
delinq_2yrs,float64,0.0027,0.0,,
earliest_cr_line,str,0.0027,0.0,,
fico_range_low,float64,0.0015,0.0,,
fico_range_high,float64,0.0015,0.0,,
inq_last_6mths,float64,0.0028,0.0,,
mths_since_last_delinq,float64,51.2467,51.7655,,
mths_since_last_record,float64,84.1131,84.5785,,
open_acc,float64,0.0027,0.0,,
pub_rec,float64,0.0027,0.0,,
revol_bal,float64,0.0015,0.0,,
revol_util,float64,0.0812,0.0561,,
total_acc,float64,0.0027,0.0,,
initial_list_status,str,0.0015,0.0,,
out_prncp,float64,0.0015,0.0,,
out_prncp_inv,float64,0.0015,0.0,,
total_pymnt,float64,0.0015,0.0,,
total_pymnt_inv,float64,0.0015,0.0,,
total_rec_prncp,float64,0.0015,0.0,,
total_rec_int,float64,0.0015,0.0,,
total_rec_late_fee,float64,0.0015,0.0,,
recoveries,float64,0.0015,0.0,,
collection_recovery_fee,float64,0.0015,0.0,,
last_pymnt_d,str,0.1088,0.0763,,
last_pymnt_amnt,float64,0.0015,0.0,,
next_pymnt_d,str,59.51,100.0,,
last_credit_pull_d,str,0.0046,0.0053,,
last_fico_range_high,float64,0.0015,0.0,,
last_fico_range_low,float64,0.0015,0.0,,
collections_12_mths_ex_med,float64,0.0079,0.0083,,
mths_since_last_major_derog,float64,74.31,75.4238,,
policy_code,float64,0.0015,0.0,,
application_type,str,0.0015,0.0,,
annual_inc_joint,float64,94.6605,99.9645,,
dti_joint,float64,94.6607,99.9647,,
verification_status_joint,str,94.8808,99.9645,,
acc_now_delinq,float64,0.0027,0.0,,
tot_coll_amt,float64,3.1101,10.0255,,
tot_cur_bal,float64,3.1101,10.0255,,
open_acc_6m,float64,38.3139,97.7902,,
open_act_il,float64,38.3139,97.7902,,
open_il_12m,float64,38.3139,97.7902,,
open_il_24m,float64,38.3139,97.7902,,
mths_since_rcnt_il,float64,40.2511,97.8593,,
total_bal_il,float64,38.3139,97.7902,,
il_util,float64,47.281,98.0971,,
open_rv_12m,float64,38.3139,97.7902,,
open_rv_24m,float64,38.3139,97.7902,,
max_bal_bc,float64,38.3139,97.7902,,
all_util,float64,38.3236,97.7902,,
total_rev_hi_lim,float64,3.1101,10.0255,,
inq_fi,float64,38.3139,97.7902,,
total_cu_tl,float64,38.3139,97.7902,,
inq_last_12m,float64,38.3139,97.7902,,
acc_open_past_24mths,float64,2.2145,7.0196,,
avg_cur_bal,float64,3.1131,10.0271,,
bc_open_to_buy,float64,3.3161,7.9286,,
bc_util,float64,3.3664,7.9896,,
chargeoff_within_12_mths,float64,0.0079,0.0083,,
delinq_amnt,float64,0.0027,0.0,,
mo_sin_old_il_acct,float64,6.1531,13.2947,,
mo_sin_old_rev_tl_op,float64,3.1101,10.0256,,
mo_sin_rcnt_rev_tl_op,float64,3.1101,10.0256,,
mo_sin_rcnt_tl,float64,3.1101,10.0255,,
mort_acc,float64,2.2145,7.0196,,
mths_since_recent_bc,float64,3.2488,7.8611,,
mths_since_recent_bc_dlq,float64,77.0115,77.07,,
mths_since_recent_inq,float64,13.0698,16.9709,,
mths_since_recent_revol_delinq,float64,67.2509,67.7555,,
num_accts_ever_120_pd,float64,3.1101,10.0255,,
num_actv_bc_tl,float64,3.1101,10.0255,,
num_actv_rev_tl,float64,3.1101,10.0255,,
num_bc_sats,float64,2.5931,8.2905,,
num_bc_tl,float64,3.1101,10.0255,,
num_il_tl,float64,3.1101,10.0255,,
num_op_rev_tl,float64,3.1101,10.0255,,
num_rev_accts,float64,3.1101,10.0256,,
num_rev_tl_bal_gt_0,float64,3.1101,10.0255,,
num_sats,float64,2.5931,8.2905,,
num_tl_120dpd_2m,float64,6.7983,13.1344,,
num_tl_30dpd,float64,3.1101,10.0255,,
num_tl_90g_dpd_24m,float64,3.1101,10.0255,,
num_tl_op_past_12m,float64,3.1101,10.0255,,
pct_tl_nvr_dlq,float64,3.1169,10.0482,,
percent_bc_gt_75,float64,3.3358,7.9813,,
pub_rec_bankruptcies,float64,0.0618,0.1035,,
tax_liens,float64,0.0061,0.0058,,
tot_hi_cred_lim,float64,3.1101,10.0255,,
total_bal_ex_mort,float64,2.2145,7.0196,,
total_bc_limit,float64,2.2145,7.0196,,
total_il_high_credit_limit,float64,3.1101,10.0255,,
revol_bal_joint,float64,95.2218,100.0,,
sec_app_fico_range_low,float64,95.2218,100.0,,
sec_app_fico_range_high,float64,95.2218,100.0,,
sec_app_earliest_cr_line,float64,95.2218,100.0,,
sec_app_inq_last_6mths,float64,95.2218,100.0,,
sec_app_mort_acc,float64,95.2218,100.0,,
sec_app_open_acc,float64,95.2218,100.0,,
sec_app_revol_util,float64,95.303,100.0,,
sec_app_open_act_il,float64,95.2218,100.0,,
sec_app_num_rev_accts,float64,95.2218,100.0,,
sec_app_chargeoff_within_12_mths,float64,95.2218,100.0,,
sec_app_collections_12_mths_ex_med,float64,95.2218,100.0,,
sec_app_mths_since_last_major_derog,float64,98.4101,100.0,,
hardship_flag,str,0.0015,0.0,,
hardship_type,str,99.5171,99.7942,,
hardship_reason,str,99.5171,99.7942,,
hardship_status,str,99.5171,99.7942,,
deferral_term,float64,99.5171,99.7942,,
hardship_amount,float64,99.5171,99.7942,,
hardship_start_date,str,99.5171,99.7942,,
hardship_end_date,str,99.5171,99.7942,,
payment_plan_start_date,str,99.5171,99.7942,,
hardship_length,float64,99.5171,99.7942,,
hardship_dpd,float64,99.5171,99.7942,,
hardship_loan_status,str,99.5171,99.7942,,
orig_projected_additional_accrued_interest,float64,99.6173,99.8316,,
hardship_payoff_balance_amount,float64,99.5171,99.7942,,
hardship_last_payment_amount,float64,99.5171,99.7942,,
disbursement_method,str,0.0015,0.0,,
debt_settlement_flag,str,0.0015,0.0,,
debt_settlement_flag_date,str,98.4852,98.4341,,
settlement_status,str,98.4852,98.4341,,
settlement_date,str,98.4852,98.4341,,
settlement_amount,float64,98.4852,98.4341,,
settlement_percentage,float64,98.4852,98.4341,,
settlement_term,float64,98.4852,98.4341,,
