id,bc_open_to_buy,revol_util,total_il_high_credit_limit,tot_cur_bal,tot_coll_amt,total_rev_hi_lim,dti,annual_inc,n_extremos,emp_title,emp_length,home_ownership,verification_status,grade,loan_amnt,issue_d,loan_status
21200242,18652.0,66.3,1241783.0,3258254.0,0.0,867000.0,12.25,1600000.0,4,Managing Director ,4 years,mortgage,source verified,a,28000.0,2014-07-01,Fully Paid
65875440,14492.0,97.4,975560.0,3078704.0,0.0,501500.0,22.81,1473000.0,3,,,mortgage,verified,c,25575.0,2015-12-01,Fully Paid
59211112,1231.0,98.8,12856.0,2809127.0,0.0,798500.0,4.53,1500000.0,3,Strategic Advisor & Consultant,1 year,mortgage,source verified,c,35000.0,2015-09-01,Fully Paid
2377118,0.0,0.0,70492.0,8000078.0,0.0,988000.0,2.36,5000000.0,3,VISIUM asset management,10+ years,mortgage,verified,c,35000.0,2012-12-01,Fully Paid
35013239,30730.0,86.3,873501.0,3189813.0,0.0,500500.0,21.29,1350000.0,3,lawyer-partner,10+ years,mortgage,verified,b,35000.0,2014-11-01,Fully Paid
60932893,200466.0,27.0,348030.0,3182645.0,0.0,747000.0,10.18,1053595.0,3,0wner,10+ years,mortgage,source verified,a,35000.0,2015-10-01,Fully Paid
62844314,46993.0,44.7,66811.0,2271242.0,0.0,168400.0,2.02,3000000.0,2,CTO,4 years,own,source verified,b,35000.0,2015-10-01,Fully Paid
65504642,2938.0,89.7,81200.0,2482331.0,0.0,678400.0,8.06,1096000.0,2,Managing Director,5 years,own,verified,c,29400.0,2015-11-01,Fully Paid
62216863,38892.0,28.9,71304.0,2245161.0,0.0,304700.0,3.08,1500000.0,2,President,5 years,mortgage,verified,a,35000.0,2015-10-01,Fully Paid
60506967,74556.0,38.7,39990.0,2651565.0,0.0,915545.0,10.81,920000.0,2,managing Director,5 years,rent,source verified,a,21600.0,2015-09-01,Fully Paid
58170370,141817.0,5.1,87394.0,2261058.0,0.0,675000.0,8.93,500000.0,2,CFO,2 years,mortgage,source verified,b,5000.0,2015-09-01,Fully Paid
65595344,10500.0,99.0,299973.0,3608951.0,340.0,804700.0,17.95,700000.0,2,VP and International Tax Counsel,10+ years,mortgage,verified,c,35000.0,2015-11-01,Fully Paid
66065509,50000.0,96.0,118055.0,2970538.0,0.0,103500.0,1.66,2300000.0,2,Managing Director,8 years,mortgage,verified,c,35000.0,2015-12-01,Fully Paid
66036777,12000.0,91.0,294796.0,2430157.0,0.0,191900.0,6.4,1800000.0,2,Managing Director,4 years,mortgage,verified,b,35000.0,2015-12-01,Fully Paid
40530283,194224.0,6.9,19336.0,1856988.0,0.0,684000.0,4.27,760000.0,2,,,mortgage,verified,a,25000.0,2015-02-01,Fully Paid
48324582,15109.0,37.4,28655.0,4447397.0,0.0,9999999.0,24.83,400000.0,2,CEO,10+ years,own,verified,d,35000.0,2015-06-01,Fully Paid
57366412,20208.0,93.0,266627.0,3726495.0,0.0,898204.0,21.44,650000.0,2,Chief Medical Officer,2 years,mortgage,verified,c,35000.0,2015-08-01,Fully Paid
38151424,113550.0,55.1,323768.0,2714693.0,0.0,673000.0,34.96,750000.0,2,Senior managing director,5 years,own,verified,e,35000.0,2015-01-01,Fully Paid
36271267,5751.0,98.0,649004.0,4026405.0,0.0,135000.0,31.39,1100000.0,2,Partner,10+ years,mortgage,verified,c,35000.0,2014-12-01,Fully Paid
34363274,6798.0,86.0,25000.0,2504428.0,0.0,678400.0,9.58,672658.0,2,Managing Director,4 years,own,source verified,a,28800.0,2014-11-01,Fully Paid
28593567,187328.0,4.2,260089.0,3292113.0,0.0,747000.0,9.4,960000.0,2,Owner,10+ years,mortgage,source verified,a,28000.0,2014-10-01,Fully Paid
39330510,75439.0,13.6,242707.0,3140639.0,0.0,101100.0,4.85,1500000.0,2,president,10+ years,mortgage,source verified,a,28000.0,2015-01-01,Fully Paid
28422899,24284.0,16.3,95987.0,3840795.0,0.0,9999999.0,13.3,999999.0,2,Executive,3 years,mortgage,verified,a,26200.0,2014-10-01,Fully Paid
17805489,5501.0,59.5,555318.0,2238193.0,0.0,101000.0,15.31,600000.0,2,Financial Planner,3 years,mortgage,verified,d,35000.0,2014-06-01,Charged Off
10505025,29800.0,45.3,0.0,2487317.0,0.0,1060800.0,8.65,920000.0,2,,10+ years,own,verified,e,35000.0,2014-01-01,Charged Off
11656935,4656.0,80.3,97540.0,2439388.0,0.0,726200.0,10.19,598000.0,2,CEO,10+ years,mortgage,source verified,c,32000.0,2014-02-01,Fully Paid
8977842,123533.0,38.6,266779.0,3437283.0,0.0,1998700.0,32.8,400000.0,2,,10+ years,mortgage,verified,c,35000.0,2013-11-01,Charged Off
5619692,8288.0,20.4,17987.0,3881449.0,0.0,9999999.0,12.54,1000000.0,2,Jennison Associates,1 year,mortgage,verified,a,28000.0,2013-06-01,Fully Paid
3240330,26000.0,0.0,35877.0,1528010.0,0.0,757500.0,1.42,2000000.0,2,R Markey &Sons Inc,5 years,mortgage,source verified,c,35000.0,2013-02-01,Fully Paid
2475869,134128.0,29.5,273866.0,3471522.0,0.0,2013133.0,33.48,400000.0,2,plastic surgery,10+ years,mortgage,verified,b,35000.0,2013-01-01,Fully Paid
